,type,topic,subject,data
57,message,/market/ticker:all,BTC-USDT,"{'bestAsk': '41918.2', 'bestAskSize': '6.04874898', 'bestBid': '41918.1', 'bestBidSize': '2.80823454', 'price': '41918.1', 'sequence': '1628076254820', 'size': '0.01349584', 'time': 1650558726175}"
58,message,/market/ticker:all,ETH-USDT,"{'bestAsk': '3092.84', 'bestAskSize': '14.5427367', 'bestBid': '3092.83', 'bestBidSize': '1.3989675', 'price': '3092.84', 'sequence': '1626466734083', 'size': '0.148649', 'time': 1650558726246}"
59,message,/market/ticker:all,BTC-USDT,"{'bestAsk': '41918.2', 'bestAskSize': '3.83516597', 'bestBid': '41918.1', 'bestBidSize': '2.80823454', 'price': '41918.2', 'sequence': '1628076254862', 'size': '0.38100345', 'time': 1650558726276}"
60,message,/market/ticker:all,ETH-USDT,"{'bestAsk': '3092.84', 'bestAskSize': '14.5516473', 'bestBid': '3092.83', 'bestBidSize': '1.3989675', 'price': '3092.84', 'sequence': '1626466734117', 'size': '0.0010894', 'time': 1650558726346}"
61,message,/market/ticker:all,BTC-USDT,"{'bestAsk': '41918.2', 'bestAskSize': '4.43516597', 'bestBid': '41918.1', 'bestBidSize': '7.20823454', 'price': '41918.2', 'sequence': '1628076255063', 'size': '0.38100345', 'time': 1650558726376}"
62,message,/market/ticker:all,ETH-USDT,"{'bestAsk': '3092.84', 'bestAskSize': '10.5216473', 'bestBid': '3092.83', 'bestBidSize': '14.2455662', 'price': '3092.84', 'sequence': '1626466734158', 'size': '0.0010894', 'time': 1650558726446}"
63,message,/market/ticker:all,BTC-USDT,"{'bestAsk': '41918.2', 'bestAskSize': '0.71631176', 'bestBid': '41918.1', 'bestBidSize': '7.20823454', 'price': '41918.2', 'sequence': '1628076255173', 'size': '0.00004553', 'time': 1650558726475}"
64,message,/market/ticker:all,ETH-USDT,"{'bestAsk': '3092.84', 'bestAskSize': '10.5216473', 'bestBid': '3092.83', 'bestBidSize': '14.0451736', 'price': '3092.84', 'sequence': '1626466734186', 'size': '0.0010894', 'time': 1650558726546}"
65,message,/market/ticker:all,BTC-USDT,"{'bestAsk': '41918.2', 'bestAskSize': '0.01631176', 'bestBid': '41918.1', 'bestBidSize': '7.20823454', 'price': '41918.2', 'sequence': '1628076255199', 'size': '0.00004553', 'time': 1650558726575}"
66,message,/market/ticker:all,ETH-USDT,"{'bestAsk': '3092.84', 'bestAskSize': '10.5316473', 'bestBid': '3092.83', 'bestBidSize': '1.6917723', 'price': '3092.84', 'sequence': '1626466734225', 'size': '0.0010894', 'time': 1650558726646}"
67,message,/market/ticker:all,BTC-USDT,"{'bestAsk': '41918.2', 'bestAskSize': '0.01623515', 'bestBid': '41918.1', 'bestBidSize': '7.20823454', 'price': '41918.2', 'sequence': '1628076255228', 'size': '0.00007661', 'time': 1650558726675}"
68,message,/market/ticker:all,ETH-USDT,"{'bestAsk': '3092.84', 'bestAskSize': '10.5316473', 'bestBid': '3092.83', 'bestBidSize': '1.4451736', 'price': '3092.84', 'sequence': '1626466734247', 'size': '0.0010894', 'time': 1650558726746}"
69,message,/market/ticker:all,BTC-USDT,"{'bestAsk': '41918.2', 'bestAskSize': '0.61623515', 'bestBid': '41918.1', 'bestBidSize': '2.80823454', 'price': '41918.2', 'sequence': '1628076255248', 'size': '0.00007661', 'time': 1650558726776}"
70,message,/market/ticker:all,ETH-USDT,"{'bestAsk': '3092.84', 'bestAskSize': '14.5316473', 'bestBid': '3092.83', 'bestBidSize': '1.0418223', 'price': '3092.84', 'sequence': '1626466734288', 'size': '0.0010894', 'time': 1650558726846}"
71,message,/market/ticker:all,BTC-USDT,"{'bestAsk': '41918.2', 'bestAskSize': '0.98513995', 'bestBid': '41918.1', 'bestBidSize': '0.84333872', 'price': '41918.2', 'sequence': '1628076255297', 'size': '0.00007661', 'time': 1650558726875}"
72,message,/market/ticker:all,ETH-USDT,"{'bestAsk': '3092.84', 'bestAskSize': '17.4085552', 'bestBid': '3092.83', 'bestBidSize': '1.0418223', 'price': '3092.84', 'sequence': '1626466734337', 'size': '0.0010894', 'time': 1650558726947}"
73,message,/market/ticker:all,BTC-USDT,"{'bestAsk': '41916', 'bestAskSize': '1.42890561', 'bestBid': '41915.9', 'bestBidSize': '0.00062935', 'price': '41918.1', 'sequence': '1628076255565', 'size': '0.00763393', 'time': 1650558726975}"
74,message,/market/ticker:all,ETH-USDT,"{'bestAsk': '3092.84', 'bestAskSize': '17.4085552', 'bestBid': '3092.83', 'bestBidSize': '0.0462061', 'price': '3092.84', 'sequence': '1626466734429', 'size': '0.0010894', 'time': 1650558727047}"
75,message,/market/ticker:all,BTC-USDT,"{'bestAsk': '41913.1', 'bestAskSize': '1.62755532', 'bestBid': '41913', 'bestBidSize': '0.00002143', 'price': '41913', 'sequence': '1628076255844', 'size': '0.00069433', 'time': 1650558727076}"
76,message,/market/ticker:all,ETH-USDT,"{'bestAsk': '3092.62', 'bestAskSize': '8.7179132', 'bestBid': '3092.61', 'bestBidSize': '0.8690236', 'price': '3092.61', 'sequence': '1626466734757', 'size': '0.0099939', 'time': 1650558727147}"
77,message,/market/ticker:all,BTC-USDT,"{'bestAsk': '41912.4', 'bestAskSize': '1.27421015', 'bestBid': '41912.3', 'bestBidSize': '0.0005', 'price': '41913', 'sequence': '1628076256064', 'size': '0.00002143', 'time': 1650558727176}"
78,message,/market/ticker:all,ETH-USDT,"{'bestAsk': '3092.62', 'bestAskSize': '19.9208992', 'bestBid': '3092.61', 'bestBidSize': '0.9090236', 'price': '3092.61', 'sequence': '1626466735041', 'size': '0.0099939', 'time': 1650558727247}"
79,message,/market/ticker:all,BTC-USDT,"{'bestAsk': '41912.4', 'bestAskSize': '3.27409262', 'bestBid': '41912.3', 'bestBidSize': '3.25830015', 'price': '41912.4', 'sequence': '1628076256226', 'size': '0.00011753', 'time': 1650558727276}"
80,message,/market/ticker:all,ETH-USDT,"{'bestAsk': '3092.62', 'bestAskSize': '19.9808991', 'bestBid': '3092.61', 'bestBidSize': '0.9190236', 'price': '3092.61', 'sequence': '1626466735097', 'size': '0.0099939', 'time': 1650558727346}"
81,message,/market/ticker:all,BTC-USDT,"{'bestAsk': '41912.4', 'bestAskSize': '3.56579082', 'bestBid': '41912.3', 'bestBidSize': '0.0005', 'price': '41912.4', 'sequence': '1628076256296', 'size': '0.00011753', 'time': 1650558727375}"
82,message,/market/ticker:all,ETH-USDT,"{'bestAsk': '3092.62', 'bestAskSize': '20.5008927', 'bestBid': '3092.61', 'bestBidSize': '0.9190236', 'price': '3092.61', 'sequence': '1626466735124', 'size': '0.0099939', 'time': 1650558727446}"
83,message,/market/ticker:all,BTC-USDT,"{'bestAsk': '41912.3', 'bestAskSize': '0.6354342', 'bestBid': '41912.2', 'bestBidSize': '0.11928578', 'price': '41912.3', 'sequence': '1628076256385', 'size': '0.0005', 'time': 1650558727475}"
84,message,/market/ticker:all,ETH-USDT,"{'bestAsk': '3092.62', 'bestAskSize': '20.4841927', 'bestBid': '3092.61', 'bestBidSize': '0.9190236', 'price': '3092.61', 'sequence': '1626466735149', 'size': '0.0099939', 'time': 1650558727547}"
